kabul,Extracted Email Address,URL,WAS_COMPLETE,IS_USEFUL,,,,
berlin, emb.kabul.sc@maec.es, http://www.exteriores.gob.es/Embajadas/kabul/es/Embajada/Paginas/HorariosLocalizacionContacto.aspx, False, True,,,,
berlin, emb.berlin.inf@maec.es, http://www.exteriores.gob.es/Embajadas/berlin/es/Embajada/Paginas/HorariosLocalizacionContacto.aspx, True, True,,,,
berlin, emb.berlin.sc@maec.es, http://www.exteriores.gob.es/Embajadas/berlin/es/Embajada/Paginas/HorariosLocalizacionContacto.aspx, True, True,,,,
berlin, alemania@mites.gob.es, http://www.exteriores.gob.es/Embajadas/berlin/es/Embajada/Paginas/HorariosLocalizacionContacto.aspx, True, False,,,,
berlin, homologaciones.de@educacion.gob.es, http://www.exteriores.gob.es/Embajadas/berlin/es/Embajada/Paginas/HorariosLocalizacionContacto.aspx, True, False,,,,
berlin, berlin@comercio.mineco.es, http://www.exteriores.gob.es/Embajadas/berlin/es/Embajada/Paginas/HorariosLocalizacionContacto.aspx, True, False,,,,
berlin, emb.berlin.inf@maec.es, http://www.exteriores.gob.es/Embajadas/berlin/es/Embajada/Paginas/Directorio.aspx, True, True,,,,
berlin, emb.berlin.cul@maec.es, http://www.exteriores.gob.es/Embajadas/berlin/es/Embajada/Paginas/Directorio.aspx, True, True,,,,
berlin, berlin@comunicacion.presidencia.gob.es, http://www.exteriores.gob.es/Embajadas/berlin/es/Embajada/Paginas/Directorio.aspx, True, True,,,,
andorra, berlin@comercio.mineco.es, http://www.exteriores.gob.es/Embajadas/berlin/es/Embajada/Paginas/Directorio.aspx, True, True,,,,
andorra, emb.andorra@maec.es, http://www.exteriores.gob.es/Embajadas/andorra/es/Embajada/Paginas/HorariosLocalizacionContacto.aspx, True, True,,,,
andorra, emb.andorra@maec.es, http://www.exteriores.gob.es/Embajadas/andorra/es/Embajada/Paginas/Directorio.aspx, True, True,,,,
andorra, cog.andorra@maec.es, http://www.exteriores.gob.es/Embajadas/andorra/es/Embajada/Paginas/Directorio.aspx, True, True,,,,
andorra, consejeria.ad@mec.es, http://www.exteriores.gob.es/Embajadas/andorra/es/Embajada/Paginas/Directorio.aspx, True, False,,,,
andorra, paris@mcx.es, http://www.exteriores.gob.es/Embajadas/andorra/es/Embajada/Paginas/Directorio.aspx, True, False,,,,
andorra, constrab.paris@mtin.es, http://www.exteriores.gob.es/Embajadas/andorra/es/Embajada/Paginas/Directorio.aspx, True, False,,,,
